Latitude,Longitude,Height (m),Data Rate (kbpms)
48.18183,11.613804,16.8,32.848
48.18183,11.613804,16.7,4.112
48.18183,11.613804,16.6,5.656
48.18183,11.613804,16.4,0.632
48.18183,11.613804,16.3,5.472
48.18183,11.613804,16.2,41.08
48.18183,11.613804,16.2,6.904
48.18183,11.613804,16.1,4.248
48.18183,11.613804,16,39.496
48.18183,11.613804,15.9,0
48.18183,11.613804,15.8,61.144
48.18183,11.613804,15.7,0
48.18183,11.613804,15.6,0
48.18183,11.613804,15.5,0
48.18183,11.613804,15.4,0
48.18183,11.613804,15.3,90.648
48.18183,11.613804,15.2,0
48.181831,11.613804,15.2,1.184
48.181831,11.613804,15.1,0
48.18183,11.613804,15,0
48.18183,11.613804,14.9,12.112
48.18183,11.613804,14.8,0
48.181831,11.613804,14.7,0
48.181831,11.613804,14.6,0
48.181831,11.613804,14.5,0
48.181831,11.613804,14.4,0
48.181831,11.613804,14.3,0
48.181831,11.613805,14.3,0
48.181831,11.613805,14.2,86.496
48.181831,11.613805,14.1,0
48.181831,11.613805,14,86.896
48.181831,11.613805,13.9,0
48.181831,11.613805,13.8,0
48.181831,11.613805,13.7,121.864
48.181831,11.613805,13.6,0
48.181831,11.613805,13.5,0
48.181831,11.613804,13.4,0
48.181831,11.613805,13.3,0.728
48.181831,11.613805,13.2,12.112
48.181831,11.613805,13.1,0
48.181831,11.613805,13,84.784
48.181831,11.613805,12.9,0
48.181831,11.613805,12.8,0
48.181831,11.613805,12.7,91.008
48.181832,11.613805,12.6,0
48.181831,11.613805,12.5,12.112
48.181831,11.613805,12.4,66.304
48.181831,11.613805,12.3,0
48.181831,11.613805,12.3,89.704
48.181832,11.613805,12.2,0
48.181832,11.613805,12.1,85.472
48.181832,11.613805,12,122.656
48.181832,11.613805,11.9,0
48.181832,11.613805,11.8,136.576
48.181832,11.613805,11.7,0
48.181832,11.613805,11.6,12.112
48.181832,11.613805,11.5,1.4
48.181832,11.613805,11.4,0
48.181832,11.613805,11.3,102.912
48.181832,11.613805,11.2,0.672
48.181832,11.613805,11.1,49.08
48.181832,11.613805,11,3.416
48.181832,11.613805,10.9,0
48.181832,11.613805,10.8,101.784
48.181832,11.613805,10.7,0.632
48.181832,11.613805,10.6,13.36
48.181832,11.613805,10.5,0
48.181832,11.613805,10.4,0
48.181832,11.613805,10.3,121.048
48.181833,11.613806,10.2,0
48.181833,11.613806,10.1,0.608
48.181833,11.613806,10,1.664
48.181833,11.613806,9.9,0
48.181833,11.613806,9.8,140.92
48.181833,11.613806,9.7,0
48.181833,11.613806,9.6,0
48.181833,11.613806,9.5,0
48.181833,11.613806,9.5,0
48.181833,11.613806,9.4,51.656
48.181833,11.613806,9.3,0
48.181833,11.613806,9.2,0
48.181833,11.613806,9.1,0
48.181833,11.613806,9,0
48.181833,11.613806,8.9,69.336
48.181833,11.613806,8.8,0
48.181832,11.613805,8.7,0
48.181832,11.613805,8.6,0
48.181833,11.613806,8.5,0
48.181833,11.613806,8.4,12.784
48.181833,11.613806,8.3,0
48.181833,11.613806,8.2,0
48.181833,11.613806,8.1,0
48.181833,11.613806,8,0
48.181833,11.613806,7.9,77.824
48.181833,11.613806,7.8,0
48.181833,11.613806,7.7,0
48.181833,11.613806,7.6,0
48.181833,11.613805,7.5,0
48.181833,11.613805,7.3,99.24
48.181833,11.613806,7.2,0
48.181833,11.613806,7.1,0
48.181833,11.613805,7,4.76
48.181833,11.613805,7,0
48.181833,11.613805,7,87.04
48.181833,11.613805,6.9,0
48.181833,11.613805,6.9,0
48.181833,11.613805,6.9,0
48.181833,11.613805,6.9,0
48.181833,11.613805,7,156.592
48.181833,11.613805,7,0.928
48.181833,11.613805,7,0.672
48.181833,11.613805,7,47.632
48.181833,11.613805,7,0
48.181833,11.613805,7.1,12.112
48.181833,11.613805,7.1,64.144
48.181833,11.613804,7.1,0
48.181833,11.613804,7.1,24.224
48.181833,11.613804,7.1,0
48.181833,11.613804,7.1,85.472
48.181833,11.613804,7.2,0
48.181833,11.613804,7.2,0
48.181833,11.613804,7.4,125.624
48.181833,11.613804,7.5,0
48.181833,11.613803,7.7,0
48.181833,11.613803,7.8,0
48.181833,11.613803,8,0
48.181833,11.613803,8.2,0
48.181833,11.613803,8.4,0
48.181833,11.613803,8.6,12.112
48.181833,11.613804,8.8,0.608
48.181833,11.613803,9,0
48.181833,11.613804,9.3,0
48.181833,11.613804,9.5,0
48.181833,11.613804,9.7,12.112
48.181833,11.613804,9.8,60.184
48.181833,11.613804,10,0
48.181833,11.613804,10,17.816
48.181832,11.613804,10.1,57.384
48.181832,11.613805,10.1,0
48.181832,11.613805,10.1,0
48.181832,11.613805,10.1,205.152
48.181832,11.613805,10.1,0
48.181832,11.613805,10.1,5.8
48.181833,11.613806,10.2,0
48.181833,11.613806,10.2,107.112
48.181833,11.613806,10.3,0
48.181833,11.613806,10.4,0
48.181833,11.613806,10.4,0
48.181833,11.613806,10.4,59.752
48.181833,11.613806,10.4,0
48.181833,11.613806,10.4,0
48.181833,11.613805,10.3,36.808
48.181833,11.613805,10.3,0
48.181834,11.613805,10.3,34.976
48.181834,11.613805,10.3,0
48.181834,11.613805,10.3,68.376
48.181834,11.613805,10.3,0
48.181834,11.613805,10.3,0
48.181835,11.613805,10.3,0
48.181835,11.613804,10.3,0
48.181835,11.613804,10.3,0
48.181835,11.613804,10.3,0
48.181836,11.613804,10.3,0.672
48.181836,11.613804,10.3,0
48.181837,11.613804,10.3,0
48.181837,11.613804,10.3,0
48.181838,11.613805,10.3,0
48.181838,11.613805,10.3,0
48.181838,11.613805,10.4,0
48.181838,11.613804,10.4,0
48.181838,11.613804,10.5,0
48.181838,11.613804,10.7,12.112
48.181838,11.613804,10.9,0
48.181838,11.613804,11.1,0
48.181838,11.613804,11.3,0
48.181838,11.613804,11.5,0
48.181838,11.613804,11.7,32.24
48.181838,11.613804,11.9,0
48.181838,11.613804,12,0
48.181838,11.613804,12.1,0.672
48.181838,11.613805,12.2,0
48.181838,11.613805,12.2,51.224
48.181838,11.613806,12.2,0.672
48.181838,11.613806,12.1,0
48.181838,11.613806,12,1.752
48.181838,11.613806,11.8,0
48.181838,11.613806,11.7,84.744
48.181839,11.613806,11.6,0
48.181839,11.613806,11.5,1.248
48.181839,11.613807,11.4,0
48.181839,11.613807,11.3,0
48.181839,11.613806,11.2,87.176
48.181839,11.613806,11.1,0
48.181839,11.613806,11,0.608
48.181839,11.613806,10.9,1.664
48.181839,11.613806,10.9,0.68
48.18184,11.613806,10.8,86.04
48.181839,11.613807,10.7,0
48.18184,11.613806,10.6,0
48.18184,11.613806,10.5,0
48.18184,11.613806,10.4,0
48.18184,11.613806,10.3,81.528
48.18184,11.613806,10.3,0
48.18184,11.613806,10.2,0
48.18184,11.613806,10.2,53.776
48.181839,11.613806,10.2,0
48.181839,11.613806,10.1,77.16
48.181839,11.613805,10.2,0
48.181839,11.613805,10.2,0
48.181839,11.613805,10.2,88.976
48.181839,11.613805,10.2,0
48.181839,11.613805,10.2,102.304
48.181839,11.613805,10.2,0
48.181839,11.613805,10.2,0
48.181839,11.613805,10.2,52.56
48.181839,11.613805,10.2,0.632
48.181839,11.613805,10.2,100.88
48.181839,11.613806,10.2,0
48.181838,11.613807,10.2,0
48.181838,11.613808,10.2,0
48.181838,11.613808,10.2,141.848
48.181838,11.613809,10.2,48.448
48.181838,11.61381,10.2,0
48.181838,11.613812,10.2,0
48.181837,11.613813,10.2,59.496
48.181837,11.613814,10.2,0
48.181837,11.613816,10.2,58.056
48.181836,11.613817,10.2,0
48.181836,11.613819,10.2,0
48.181836,11.61382,10.2,43.896
48.181836,11.613822,10.2,0.672
48.181835,11.613823,10.2,62.88
48.181835,11.613825,10.2,0.928
48.181834,11.613827,10.2,0
48.181834,11.613829,10.2,75.512
48.181834,11.613831,10.2,1.752
48.181833,11.613833,10.2,46.8
48.181833,11.613835,10.2,0.688
48.181832,11.613837,10.2,0.632
48.181832,11.613839,10.2,12.112
48.181832,11.613841,10.2,0
48.181831,11.613844,10.2,12.112
48.18183,11.613846,10.2,0
48.181829,11.613849,10.2,0
48.181829,11.613851,10.2,67.112
48.181828,11.613854,10.3,1.664
48.181828,11.613856,10.3,12.112
48.181827,11.613858,10.3,0
48.181826,11.613861,10.3,0
48.181825,11.613863,10.3,80.112
48.181825,11.613866,10.3,0
48.181824,11.613869,10.3,48.448
48.181823,11.613871,10.3,0
48.181823,11.613874,10.2,0
48.181821,11.613879,10.3,0
48.18182,11.613882,10.2,0
48.181818,11.613891,10.3,0
48.181817,11.613893,10.3,0
48.181817,11.613896,10.3,0
48.181816,11.613899,10.3,0
48.181815,11.613902,10.3,0
48.181814,11.613905,10.3,32.912
48.181814,11.613908,10.4,0
48.181813,11.613911,10.4,0
48.181812,11.613914,10.4,19.88
48.181812,11.613917,10.4,0
48.181811,11.61392,10.4,33.792
48.18181,11.613923,10.4,0
48.18181,11.613925,10.4,0
48.181809,11.613928,10.3,51.248
48.181809,11.613929,10.3,0
48.181809,11.61393,10.3,69.576
48.181808,11.613931,10.3,0
48.181808,11.613932,10.3,0
48.181808,11.613932,10.3,0
48.181807,11.613932,10.3,0
48.181807,11.613932,10.4,195.392
48.181807,11.613932,10.3,84.344
48.181807,11.613932,10.3,0.672
48.181807,11.613932,10.3,39.944
48.181807,11.613932,10.3,5.16
48.181807,11.613931,10.3,4.976
48.181807,11.613932,10.3,5.152
48.181807,11.613932,10.3,10.568
48.181807,11.613932,10.3,17.056
48.181807,11.613932,10.3,4.264
48.181807,11.613932,10.3,87.776
48.181807,11.613932,10.3,6.28
48.181807,11.613932,10.3,5.256
48.181807,11.613932,10.3,4.256
48.181807,11.613932,10.3,4.376
48.181807,11.613932,10.3,60.56
48.181807,11.613932,10.3,0
48.181808,11.613932,10.3,0.728
48.181807,11.613932,10.3,98.896
48.181808,11.613932,10.3,142.744
48.181808,11.613932,10.3,57.248
48.181808,11.613933,10.2,1.296
48.181808,11.613933,10.2,0
48.181809,11.613933,10.2,50.64
48.181809,11.613934,10.2,0
48.18181,11.613934,10.2,36.336
48.181811,11.613935,10.2,39
48.181811,11.613935,10.2,0
48.181812,11.613936,10.2,32.72
48.181813,11.613937,10.2,0
48.181814,11.613938,10.2,42.632
48.181814,11.613939,10.2,0
48.181816,11.613939,10.2,102.808
48.181817,11.61394,10.2,12.112
48.181818,11.613941,10.2,0
48.181819,11.613942,10.2,12.112
48.18182,11.613943,10.2,0
48.181821,11.613944,10.2,0.608
48.181822,11.613945,10.2,24.224
48.181823,11.613947,10.2,0
48.181824,11.613948,10.3,12.84
48.181826,11.61395,10.3,0
48.181827,11.613951,10.3,0
48.181828,11.613952,10.3,89.16
48.18183,11.613954,10.3,0
48.181831,11.613955,10.3,0.624
48.181832,11.613956,10.3,0.672
48.181834,11.613958,10.3,0
48.181835,11.613959,10.3,198.352
48.181837,11.613961,10.3,0
48.181839,11.613962,10.3,12.112
48.18184,11.613964,10.3,0
48.181842,11.613965,10.3,0
48.181843,11.613967,10.3,12.112
48.181845,11.613968,10.3,0
48.181847,11.61397,10.3,60.56
48.181848,11.613972,10.3,12.112
48.18185,11.613974,10.3,238.104
48.181852,11.613975,10.3,15.984
48.181853,11.613977,10.3,0
48.181855,11.613979,10.3,12.112
48.181857,11.61398,10.3,17.472
48.181858,11.613982,10.3,0
48.18186,11.613984,10.3,49.128
48.181861,11.613986,10.3,55.776
48.181863,11.613988,10.3,0
48.181865,11.61399,10.3,0
48.181867,11.613992,10.3,0
48.181868,11.613993,10.3,65.736
48.18187,11.613995,10.3,0
48.181872,11.613997,10.3,0
48.181874,11.613999,10.3,71.952
48.181875,11.614001,10.3,52.664
48.181877,11.614003,10.3,109.008
48.181879,11.614005,10.3,0
48.181881,11.614007,10.3,0
48.181883,11.614009,10.3,0
48.181885,11.614011,10.3,0
48.181887,11.614013,10.3,86.096
48.181888,11.614015,10.3,0
48.18189,11.614017,10.3,0
48.181892,11.614019,10.3,48.968
48.181894,11.614021,10.3,0
48.181896,11.614023,10.3,24.224
48.181898,11.614025,10.3,59.904
48.1819,11.614027,10.3,0.608
48.181902,11.61403,10.3,66.928
48.181904,11.614032,10.3,0
48.181906,11.614034,10.3,36.336
48.181908,11.614036,10.3,0
48.18191,11.614038,10.3,0
48.181912,11.61404,10.3,0
48.181913,11.614042,10.3,0
48.181915,11.614044,10.3,48.448
48.181917,11.614047,10.3,0
48.181919,11.614049,10.3,0
48.181921,11.614051,10.3,137.408
48.181923,11.614053,10.3,0.672
48.181925,11.614055,10.3,24.224
48.181927,11.614057,10.3,0
48.181929,11.614059,10.3,0
48.181931,11.614061,10.3,24.224
48.181933,11.614064,10.3,27.168
48.181935,11.614066,10.3,60.56
48.181937,11.614068,10.2,0
48.181939,11.61407,10.3,0
48.181941,11.614073,10.3,64.232
48.181943,11.614075,10.3,0
48.181945,11.614077,10.3,24.224
48.181947,11.614079,10.3,0
48.181949,11.614081,10.3,24.224
48.181951,11.614084,10.3,49.76
48.181953,11.614086,10.3,24.224
48.181955,11.614088,10.3,21.504
48.181957,11.61409,10.3,12.112
48.181959,11.614092,10.3,0
48.181963,11.614097,10.3,0
48.181966,11.6141,10.3,0
48.181968,11.614101,10.3,0
48.181969,11.614103,10.3,0
48.181971,11.614105,10.3,0
48.181972,11.614106,10.3,0
48.181973,11.614107,10.3,0
48.181974,11.614109,10.2,12.112
48.181976,11.61411,10.2,12.112
48.181977,11.614112,10.2,15.6
48.181979,11.614113,10.2,12.112
48.18198,11.614115,10.1,31.76
48.181982,11.614117,10.1,0
48.181983,11.614119,10.1,0
48.181985,11.61412,10.1,25.624
48.181987,11.614122,10.1,0
48.181988,11.614124,10.1,0
48.18199,11.614125,10.2,0
48.181992,11.614127,10.1,0
48.181993,11.614129,10.2,60.56
48.181995,11.614131,10.2,12.08
48.181997,11.614133,10.2,60.752
48.181998,11.614134,10.1,0
48.182,11.614136,10.2,0
48.182001,11.614138,10.2,54.632
48.182003,11.61414,10.2,0
48.182005,11.614142,10.2,12.112
48.182006,11.614144,10.2,24.224
48.182008,11.614146,10.2,54.648
48.18201,11.614147,10.2,0
48.182011,11.614149,10.2,24.224
48.182013,11.614151,10.2,4.056
48.182015,11.614153,10.2,8.664
48.182016,11.614155,10.2,15.6
48.182018,11.614156,10.2,12.112
48.18202,11.614158,10.2,12.696
48.182022,11.61416,10.2,0
48.182024,11.614162,10.2,0
48.182025,11.614164,10.2,0
48.182027,11.614166,10.2,0
48.182029,11.614168,10.2,0
48.182031,11.61417,10.2,0
48.182033,11.614172,10.2,0
48.182041,11.614181,10.3,12.112
48.182043,11.614183,10.3,16.232
48.182046,11.614187,10.3,9.304
48.182048,11.61419,10.3,9.296
48.18205,11.614192,10.3,0
48.182052,11.614194,10.3,0
48.182054,11.614196,10.3,0
48.182056,11.614198,10.3,35.272
48.182058,11.614201,10.2,0
48.18206,11.614203,10.2,0
48.182062,11.614205,10.2,0
48.182064,11.614208,10.2,0
48.182066,11.61421,10.2,34.016
48.182068,11.614212,10.3,0
48.18207,11.614214,10.3,0
48.182072,11.614217,10.3,40.04
48.182074,11.614219,10.3,0
48.182076,11.614221,10.3,49.52
48.182077,11.614223,10.3,0
48.182079,11.614224,10.3,0
48.182079,11.614226,10.3,0
48.18208,11.614227,10.3,54.6
48.18208,11.614227,10.3,12.112
48.18208,11.614228,10.3,77.8
48.182081,11.614229,10.3,0.728
48.182081,11.61423,10.3,0
48.182081,11.61423,10.2,0.608
48.182081,11.61423,10.2,84.392
48.18208,11.61423,10.2,0
48.18208,11.61423,10.1,0
48.18208,11.61423,10.1,48.448
48.18208,11.61423,10.1,0
48.182079,11.61423,10.1,215.304
48.18208,11.61423,10.1,1.552
48.182079,11.61423,10.1,0
48.182079,11.614231,10.1,20.016
48.182079,11.614231,10.1,15.6
48.182079,11.614231,10.2,20.72
48.182079,11.614231,10.3,0
48.182079,11.614231,10.4,0.632
48.182079,11.614231,10.5,0
48.182079,11.61423,10.7,66.4
48.182079,11.61423,10.9,0
48.182079,11.61423,11.2,0
48.182079,11.61423,11.3,0
48.182079,11.61423,11.6,0
48.182079,11.61423,11.8,53.704
48.18208,11.61423,12,0
48.18208,11.61423,12.2,0
48.18208,11.614231,12.4,56.368
48.18208,11.614231,12.6,0
48.18208,11.614231,12.8,69.944
48.18208,11.614231,13,62.072
48.18208,11.614231,13.1,0
48.18208,11.614231,13.4,62.696
48.18208,11.614231,13.6,0
48.18208,11.614231,13.8,12.112
48.18208,11.614231,14,0
48.18208,11.614231,14.1,0
48.18208,11.614231,14.3,60.56
48.18208,11.614231,14.5,0
48.18208,11.614231,14.7,60.56
48.18208,11.614231,14.9,0
48.18208,11.614231,15,0
48.18208,11.614231,15.2,105.912
48.18208,11.614231,15.4,0
48.18208,11.614231,15.6,99.384
48.18208,11.614231,15.8,0
48.18208,11.614231,16,0
48.18208,11.614231,16.2,58.568
48.18208,11.614231,16.4,0
48.18208,11.614231,16.6,12.112
48.18208,11.614231,16.8,0
48.18208,11.614231,17,0
48.18208,11.614231,17.2,74.272
48.18208,11.614231,17.4,0
48.18208,11.614231,17.6,96.896
48.18208,11.614231,17.8,0
48.18208,11.614231,17.9,0
48.18208,11.614231,18.1,131.712
48.18208,11.614231,18.3,0
48.18208,11.614231,18.5,12.112
48.18208,11.614231,18.7,0
48.18208,11.614231,18.9,0
48.182079,11.614231,19.1,108.92
48.182079,11.614231,19.3,0
48.182079,11.614231,19.5,24.224
48.182079,11.614231,19.7,0
48.182079,11.614231,19.9,0
48.182079,11.614231,20.1,102.016
48.182079,11.614231,20.3,0
48.182079,11.614231,20.5,0
48.182079,11.614232,20.7,0
48.182079,11.614232,20.9,0
48.182079,11.614232,21.1,12.784
48.182079,11.614232,21.3,163.152
48.182079,11.614232,21.5,13.376
48.182079,11.614232,21.7,2.32
48.182079,11.614232,21.9,0
48.182079,11.614232,22.1,53.76
48.182079,11.614232,22.3,0.632
48.182079,11.614232,22.5,0
48.182079,11.614232,22.7,0
48.182079,11.614232,22.9,0
48.182078,11.614232,23.1,66.632
48.182078,11.614232,23.3,0
48.182078,11.614232,23.5,5.416
48.182078,11.614232,23.7,20.808
48.182078,11.614232,23.9,82.856
48.182078,11.614232,24.1,0
48.182078,11.614232,24.3,19.832
48.182078,11.614231,24.5,115.728
48.182078,11.614231,24.7,33.144
48.182078,11.614232,24.9,0
48.182078,11.614232,25.1,96.896
48.182078,11.614232,25.3,0
48.182078,11.614232,25.4,0.608
48.182078,11.614231,25.6,0
48.182078,11.614231,25.7,0
48.182078,11.614232,25.7,96.048
48.182078,11.614232,25.8,0
48.182078,11.614232,25.8,0.688
48.182078,11.614232,25.8,0
48.182078,11.614232,25.8,0
48.182078,11.614232,25.8,17.568
48.182078,11.614232,25.8,4.24
48.182078,11.614232,25.7,5.664
48.182078,11.614232,25.8,139.16
48.182077,11.614232,25.7,4.12
48.182077,11.614232,25.8,90.848
48.182077,11.614232,25.8,30.552
48.182077,11.614232,25.8,5.432
48.182077,11.614232,25.8,96.896
48.182077,11.614232,25.8,4.384
48.182077,11.614231,25.8,60.56
48.182076,11.614231,25.8,30.336
48.182076,11.614231,25.8,0
48.182075,11.61423,25.8,75.272
48.182075,11.61423,25.9,0
48.182074,11.614229,25.9,36.336
48.182073,11.614228,25.9,0
48.182072,11.614228,25.9,0
48.182071,11.614227,25.9,25.296
48.18207,11.614226,25.9,46.8
48.182069,11.614225,25.9,12.112
48.182068,11.614224,25.9,0
48.182067,11.614223,25.8,0
48.182066,11.614222,25.8,61.432
48.182065,11.614221,25.8,0
48.182064,11.61422,25.8,12.112
48.182063,11.614219,25.8,12.112
48.182062,11.614218,25.8,16.872
48.182059,11.614215,25.8,12.112
48.18206,11.614217,25.8,48.448
48.182058,11.614214,25.8,0
48.182056,11.614213,25.8,11.728
48.182055,11.614211,25.8,0
48.182053,11.61421,25.8,0
48.182052,11.614208,25.8,0
48.18205,11.614207,25.9,0
48.182049,11.614206,25.9,0
48.182048,11.614205,25.9,0
48.182047,11.614204,25.9,0
48.182047,11.614203,25.9,0
48.182043,11.614199,25.9,0
48.182042,11.614198,25.9,7.8
48.182041,11.614196,25.9,24.224
48.18204,11.614195,25.8,0
48.182039,11.614193,25.8,49.2
48.182037,11.614192,25.8,33.456
48.182036,11.614191,25.8,47.376
48.182034,11.614189,25.8,0
48.182033,11.614187,25.8,0
48.182032,11.614186,25.8,0
48.18203,11.614184,25.8,21.328
48.182029,11.614182,25.8,46.992
48.182027,11.614181,25.8,0
48.182026,11.614179,25.8,12.112
48.182024,11.614177,25.8,149.416
48.182023,11.614176,25.8,0
48.182022,11.614174,25.8,12.112
48.18202,11.614172,25.8,0
48.182018,11.614171,25.8,0
48.182017,11.614169,25.8,54.6
48.182015,11.614167,25.8,0
48.182013,11.614165,25.8,65.344
48.182011,11.614163,25.8,0
48.18201,11.614162,25.8,12.112
48.182008,11.61416,25.8,0
48.182005,11.614156,25.8,0
48.182003,11.614154,25.8,0
48.182001,11.614153,25.7,74.456
48.182,11.61415,25.7,0
